chip_id,type,rationale,continent,lat,lon,panel_frac,dice,recall,precision,gt_px,pred_px,frac_year_2024,poly_total_area_m2,poly_2024_area_m2,n_polys,min_year,max_year,in_b4,in_b8,in_b11,in_ndvi,in_n
c+003605_r+002165,A,in_b11=2728<3330 (panel-like) AND R=0.68<0.70,Asia,44.5034136516176,82.91521937645912,0.8578,0.8051,0.6788,0.989,56207,38581,1.0000,5622120,5621923,2,2021.0,2024.0,1862.4,1985.5,2728.3,0.0320,56207
c+004217_r+001757,B,in_b11=3658>3583 (bare-like) AND R=0.00<0.10,Asia,37.42990062058469,96.98930459581648,0.7321,0.0,0.0,0.0,47866,0,0.0000,4798208,0,1,2017.0,2017.0,2561.0,2875.9,3658.4,0.0579,47866
c+004216_r+001757,B,in_b11=3764>3583 (bare-like) AND R=0.01<0.10,Asia,37.42990062058469,96.96630772454304,0.984,0.021,0.0106,1.0,64488,683,0.0000,6448948,0,1,2017.0,2017.0,2505.0,2845.3,3764.1,0.0636,64488
c+004812_r+001613,A,in_b11=2361<3330 (panel-like) AND R=0.65<0.70,Asia,34.754437111733395,110.67244300352505,0.7233,0.7689,0.6474,0.9464,47391,32422,0.0000,4739965,0,2,2017.0,2018.0,1029.8,2773.8,2360.6,0.4585,47391
c+004139_r+001701,C,"F=1.00, R=0.82, in_b11=3634 (between 3330-3583)",Asia,36.400280072496464,95.19554863648662,0.5497,0.8368,0.8243,0.8497,36050,34971,1.0000,3602666,3602666,1,2024.0,2024.0,2202.7,2294.5,3633.7,0.0204,36050
c+003340_r+001812,C,"F=0.00, R=0.41, in_b11=3666 (between 3330-3583)",Asia,38.42753871018418,76.82104848899228,0.4947,0.5746,0.4073,0.9749,32422,13547,0.0000,3242057,0,1,2023.0,2023.0,2662.1,2797.9,3665.7,0.0249,32422
c-004770_r+001994,A,in_b11=1438<3330 (panel-like) AND R=0.00<0.70,N_America,41.6313739810734,-109.68357753876626,0.4008,0.0,0.0,0.0,26270,0,0.0000,2626685,0,3,2019.0,2019.0,3250.8,3541.2,1438.4,0.0428,26270
c+002820_r+001876,C,"F=1.00, R=0.91, in_b11=3489 (between 3330-3583)",Asia,39.57130737692815,64.86267542679322,0.4963,0.6643,0.9118,0.5225,32548,56793,1.0000,3252588,3252588,2,2024.0,2024.0,2062.5,2306.0,3489.0,0.0557,32548
c+004220_r+001754,C,"F=1.00, R=0.36, in_b11=3916 (between 3330-3583)",Asia,37.37509529975219,97.05829520963688,0.5349,0.5322,0.3636,0.9924,35051,12841,1.0000,3505832,3505832,1,2024.0,2024.0,2463.2,2765.8,3916.5,0.0579,35051
c+004813_r+001613,A,in_b11=2478<3330 (panel-like) AND R=0.49<0.70,Asia,34.754437111733395,110.6954398747985,0.606,0.6539,0.4932,0.97,39722,20198,0.0000,3971666,0,2,2018.0,2018.0,1225.0,2752.5,2478.0,0.3840,39722
