aoi_px_h,aoi_px_w,area_m2,chip_id,det_frac,det_px,half_size_km,lat,lon,n_polys_in_aoi,n_scenes_used,polygon_year,tier,unseen_class
1807,1807,6404664.664170406,c+000368_r+002981,0.027103292888229963,88499,5.0,56.37712575499017,8.484797114846991,1,1,2022,large,v2_test
1139,1139,3204411.4928020127,c+000810_r+002661,0.02251717192583794,29212,3.5,52.07864765371198,18.64958468669174,2,1,2021,large,v2_test
1281,1282,5926132.87804832,c-000294_r+001823,0.05284726611546897,86788,5.0,38.63383687173345,-6.74679081453628,2,1,2017,large,v2_test
892,892,2061985.05087044,c-000314_r+001799,0.053977558366345595,42948,3.5,38.19421720020632,-7.216176997920145,5,2,2017,large,v2_test
913,912,3031181.1186922337,c-000246_r+001890,0.059652485540247116,49670,3.5,39.82390143036758,-5.648429879921716,11,4,2021,large,v2_test
1212,1212,3172794.1384349084,c+000773_r+002851,0.04186817196571142,61502,3.5,54.684752241020355,17.79873051301192,2,1,2022,large,v2_test
909,909,2019087.5883687441,c-000090_r+001876,0.10612733440560777,87691,3.5,39.57577239648251,-2.0508819574032233,10,6,2024,large,v2_test
934,934,2997292.8344669566,c-000027_r+001982,0.08816354790933977,76910,3.5,41.42296846318633,-0.6153270161461777,6,1,2023,large,v2_test
1032,1033,2489106.4002887183,c+000839_r+002338,0.02783437267835836,29673,3.5,47.26969452846056,19.298288510627334,3,1,2024,large,v2_test
932,932,2359642.0541671813,c-000011_r+001971,0.12835588240711746,111493,3.5,41.22838191969022,-0.235273076660034,10,1,2020,large,v2_test
884,884,2128644.264716581,c-000232_r+001763,0.056962900022522064,44514,3.5,37.54714539149516,-5.331300263744777,2,1,2020,large,v2_test
935,935,2545462.253375596,c-000027_r+001983,0.0858794932654637,75078,3.5,41.437659024016526,-0.6112826141484193,6,1,2023,large,v2_test
1213,1213,2381587.3747993414,c+000773_r+002852,0.055523801303411995,81696,3.5,54.695663318441355,17.792620784938915,2,1,2022,large,v2_test
636,636,535192.6139145922,c-000060_r+001788,0.06088317313397413,24627,2.5,37.98833719422773,-1.3729021869774949,4,1,2019,medium,v2_test
910,909,1410821.4042658587,c-000092_r+001877,0.1667053518538667,137897,3.5,39.59228978596211,-2.100565636112698,9,8,2021,medium,v2_test
626,626,822249.322082198,c+001455_r+001731,0.025758147985587277,10094,2.5,36.954166261842424,33.47465395161014,2,1,2024,medium,v2_test
1177,1178,1278371.2247499237,c-000280_r+002763,0.03349065925426936,46435,3.5,53.49313846026295,-6.418115767406882,10,1,2024,medium,v2_test
1175,1175,1418330.1959402899,c-000192_r+002757,0.011935898596650068,16479,3.5,53.404934008388565,-4.41370654207418,3,6,2024,medium,v2_test
825,825,576720.6877371772,c+000267_r+002705,0.05893847566574839,40115,2.5,52.69341881799954,6.149175473398299,2,1,2023,medium,v2_test
666,666,502673.07582933316,c-000012_r+001972,0.2269566864161459,100668,2.5,41.25184060965142,-0.253385256627092,12,1,2017,medium,v2_test
826,826,534586.7693601913,c-000065_r+002706,0.010775697811442877,7352,2.5,52.707591285419774,-1.4733940905906342,3,1,2018,medium,v2_test
743,743,515480.1853799316,c+000834_r+002362,0.011421087620845252,6305,2.5,47.6524395553678,19.190845165771027,2,1,2023,medium,truly_novel
826,826,898572.5546685907,c+000286_r+002706,0.013608862102726755,9285,2.5,52.711584633357106,6.590184165467994,2,1,2024,medium,v2_test
848,848,656576.1948794116,c+000515_r+002787,0.018094740121039517,13012,2.5,53.81892318480324,11.851879272248704,2,1,2017,medium,v2_test
666,666,772687.5345496567,c-000016_r+001969,0.10905274644013382,48371,2.5,41.19265246300265,-0.34497012313335956,8,1,2020,medium,v2_test
909,910,1525695.2236313955,c-000091_r+001877,0.22007882106892007,182047,3.5,39.59384337902819,-2.0833772393892573,13,7,2023,medium,v2_test
