chip_id,tier,unseen_class,det_px,filt_px,removed_px,n_blobs,n_blobs_removed
c-000250_r+001899,large,v2_test,27433,27340,93,10,2
c-000012_r+001971,large,v2_test,120267,120175,92,54,2
c+000368_r+002981,large,v2_test,88499,63346,25153,22,15
c-000281_r+002775,large,v2_test,49604,49604,0,2,0
c+000810_r+002661,large,v2_test,29212,29212,0,3,0
c-000090_r+001877,large,v2_test,160897,160884,13,24,0
c+001158_r+002426,large,v2_test,22781,21564,1217,2,1
c+000845_r+001948,large,v2_test,47133,47133,0,2,0
c-000294_r+001823,large,v2_test,86788,86686,102,7,3
c-000090_r+001878,large,v2_test,175594,172062,3532,37,2
c-000235_r+001895,large,v2_test,112532,86367,26165,54,39
c+000913_r+001990,large,v2_test,29235,29132,103,3,1
c-000314_r+001799,large,v2_test,42948,1353,41595,2,1
c-000246_r+001890,large,v2_test,49670,45003,4667,25,3
c+000773_r+002851,large,v2_test,61502,56001,5501,4,1
c-000090_r+001876,large,v2_test,87691,86279,1412,12,1
c-000027_r+001982,large,v2_test,76910,76893,17,18,0
c+000544_r+002742,large,v2_test,21247,21247,0,0,0
c+000839_r+002338,large,v2_test,29673,29673,0,4,0
c-000011_r+001971,large,v2_test,111493,88769,22724,66,19
c-000232_r+001763,large,v2_test,44514,44498,16,6,1
c-000027_r+001983,large,v2_test,75078,70348,4730,12,1
c+000773_r+002852,large,v2_test,81696,56230,25466,13,10
c-000091_r+001879,large,v2_test,161857,159394,2463,25,2
c-000060_r+001788,medium,v2_test,24627,24595,32,11,2
c-000092_r+001877,medium,v2_test,137897,134481,3416,30,5
c+001455_r+001731,medium,v2_test,10094,10094,0,3,0
c-000280_r+002763,medium,v2_test,46435,46435,0,19,0
c-000192_r+002757,medium,v2_test,16479,16479,0,4,0
c+000267_r+002705,medium,v2_test,40115,7745,32370,10,7
c-000012_r+001972,medium,v2_test,100668,100267,401,23,3
c-000065_r+002706,medium,v2_test,7352,7352,0,6,0
c+001143_r+002053,medium,v2_test,26334,26334,0,20,0
c+000834_r+002362,medium,truly_novel,6305,6305,0,4,0
c+000286_r+002706,medium,v2_test,9285,9278,7,6,0
c+000515_r+002787,medium,v2_test,13012,7759,5253,3,1
c-000016_r+001969,medium,v2_test,48371,48371,0,9,0
c-000091_r+001877,medium,v2_test,182047,179992,2055,27,4
c+000759_r+002473,medium,v2_test,7748,7748,0,5,0
c+000764_r+002741,medium,truly_novel,38346,0,38346,1,1
c-000078_r+001846,medium,truly_novel,7507,7220,287,5,2
c-000077_r+001805,medium,v2_test,8406,8406,0,1,0
c+001456_r+002410,medium,v2_test,16557,16557,0,10,0
c+000468_r+002687,medium,v2_test,35847,1493,34354,15,6
c-000335_r+001875,medium,truly_novel,17716,17716,0,3,0
c-000060_r+001787,medium,v2_test,78458,76351,2107,35,7
c+000727_r+002837,medium,v2_test,8082,8082,0,2,0
c+000005_r+002217,medium,v2_test,5254,5254,0,1,0
c-000049_r+001772,medium,v2_test,25566,24897,669,21,2
c-000030_r+002675,medium,v2_test,25135,15066,10069,9,5
c-000015_r+001970,medium,v2_test,52305,52305,0,12,0
c+000115_r+002367,medium,v2_test,40512,15093,25419,10,6
c-000023_r+001973,medium,v2_test,80773,77467,3306,7,5
c+000859_r+002316,medium,truly_novel,7968,6991,977,3,2
c-000024_r+001972,medium,v2_test,78287,76927,1360,6,3
c-000041_r+001829,medium,truly_novel,25239,23301,1938,8,1
c+001878_r+001823,medium,v2_test,11660,11660,0,1,0
c-000236_r+001895,medium,v2_test,81144,81144,0,11,0
c+001006_r+002689,medium,truly_novel,9438,6747,2691,3,1
c-000105_r+001859,medium,v2_test,10557,5478,5079,5,4
c+000950_r+002802,medium,v2_test,8693,8693,0,2,0
c+000282_r+002711,medium,v2_test,20499,20494,5,9,0
c+000279_r+002709,medium,v2_test,11348,11348,0,3,0
c-000176_r+001846,medium,v2_test,8693,8693,0,2,0
c-000174_r+001826,medium,v2_test,30837,29822,1015,21,1
c-000047_r+002632,medium,truly_novel,8792,8792,0,3,0
c+000742_r+002721,medium,truly_novel,6260,6260,0,2,0
c+000376_r+002864,medium,truly_novel,6756,6756,0,3,0
c+000240_r+002694,medium,truly_novel,12140,12140,0,7,0
c+001339_r+002297,medium,v2_test,13684,9402,4282,2,1
c-000235_r+001899,medium,v2_test,82642,35628,47014,30,6
c-000009_r+002682,medium,v2_test,9798,9798,0,2,0
c+000818_r+002293,medium,v2_test,21324,21308,16,11,0
c-000237_r+001773,medium,v2_test,22791,22787,4,6,0
c-000130_r+001867,medium,truly_novel,6235,6235,0,1,0
c+000357_r+002982,medium,v2_test,20483,20483,0,3,0
c+000299_r+002738,medium,truly_novel,52202,16957,35245,13,5
c-000091_r+001878,medium,v2_test,190616,190577,39,24,1
c-000249_r+001762,medium,v2_test,28557,28557,0,12,0
c+000355_r+002986,medium,v2_test,18417,5749,12668,4,2
c+000400_r+002794,medium,v2_test,55529,27365,28164,20,12
c-000189_r+001832,medium,v2_test,5537,5537,0,1,0
c+001108_r+002050,medium,v2_test,8349,8349,0,5,0
c-000079_r+002578,medium,truly_novel,27237,7480,19757,15,8
c-000023_r+002678,medium,v2_test,43026,43026,0,4,0
c+000956_r+002005,medium,v2_test,16302,16302,0,9,0
c+000818_r+002294,medium,v2_test,21555,21555,0,8,0
c+001448_r+001744,medium,truly_novel,12731,12731,0,11,0
