chip_id,tier,continent,lat,lon,panel_frac,pre_px,post_px,delta_net,added,lost
c-000069_r+002779,small,Europe,53.7105,-1.5753,0.0438,32671,22446,-10225,0,10225
c-003884_r+002137,small,N_America,44.0424,-89.3083,0.0612,352,0,-352,0,352
c-000017_r+001535,small,Africa,33.2676,-0.3794,0.0587,3794,3809,15,15,0
c-003023_r-000989,small,S_America,-22.1585,-69.5080,0.0249,12019,12043,24,24,0
c+006478_r-001495,small,Oceania,-32.4757,148.9852,0.0202,25987,25886,-101,0,101
c-000397_r+001837,small,Other,38.8765,-9.1183,0.0384,4401,4319,-82,0,82
c+004728_r+001972,small,Asia,41.2521,108.7407,0.0831,28516,39012,10496,10496,0
c+000488_r+002518,small,Europe,50.0063,11.2340,0.0662,10663,10399,-264,0,264
c-004487_r+001479,small,N_America,32.1842,-103.1755,0.0694,106960,127753,20793,20793,0
c-000717_r+001276,small,Africa,28.1495,-16.4773,0.0544,8357,8472,115,115,0
c-003085_r-001403,small,S_America,-30.6734,-70.9338,0.0310,1781,1808,27,27,0
c+006454_r-001032,small,Oceania,-23.0713,148.4333,0.0861,35848,33784,-2064,0,2064
c+004766_r+001961,medium,Asia,41.0617,109.6146,0.1669,7726,7887,161,161,0
c-003597_r+001520,medium,N_America,32.9787,-82.7082,0.2015,62589,44315,-18274,0,18274
c+001929_r+002419,medium,Europe,48.5207,44.3725,0.2303,15082,9,-15073,0,15073
c-003026_r-000991,medium,S_America,-22.2010,-69.5770,0.1255,47962,47621,-341,0,341
c+002046_r+001328,medium,Africa,29.1987,47.0631,0.1404,25592,30351,4759,4759,0
c+006476_r-001497,medium,Oceania,-32.5145,148.9392,0.2477,70338,67014,-3324,0,3324
c+003097_r+001070,medium,Asia,23.8939,71.2328,0.1778,33285,34232,947,947,0
c-003522_r+002459,medium,N_America,49.1263,-80.9835,0.1313,15,1842,1827,1827,0
c-000243_r+001855,medium,Europe,39.1980,-5.5767,0.3895,55179,55181,2,2,0
c-001916_r-000739,medium,S_America,-16.7398,-44.0505,0.1865,20333,20290,-43,0,43
c-000496_r+000573,medium,Africa,13.0738,-11.3949,0.1329,9511,9552,41,41,0
c+006560_r-001226,medium,Oceania,-27.1105,150.8710,0.2482,88806,92481,3675,3675,0
c+004850_r+001613,medium,Asia,34.7544,111.5463,0.1315,13226,14342,1116,1116,0
c-005031_r+001505,medium,N_America,32.6889,-115.6858,0.1043,52809,49288,-3521,0,3521
c+000853_r+002408,medium,Europe,48.3529,19.6278,0.1637,14020,26392,12372,12372,0
c-003249_r+000235,medium,S_America,5.4077,-74.7053,0.1659,21113,21311,198,198,0
c+001421_r+001097,medium,Africa,24.4603,32.6901,0.1228,53953,53921,-32,0,32
c+006182_r-001595,medium,Oceania,-34.3947,142.1782,0.3677,50591,56794,6203,6203,0
c+003392_r+001854,medium,Asia,39.1802,78.0169,0.2695,142854,142803,-51,0,51
c-004235_r+001537,medium,N_America,33.3061,-97.3803,0.3507,47347,48826,1479,1479,0
c+003875_r+002138,large,Asia,44.0589,89.1244,0.6587,0,0,0,0,0
c-005150_r+001617,large,N_America,34.8300,-118.4224,0.4733,372706,403936,31230,31230,0
c+001720_r+000922,large,Africa,20.7459,39.5661,0.5455,277582,462344,184762,184762,0
c+005783_r-001471,large,Oceania,-32.0089,133.0024,0.7891,204010,235116,31106,31106,0
c-001693_r-000166,large,S_America,-3.8032,-38.9222,0.4771,38305,36557,-1748,0,1748
c+002314_r+002689,large,Europe,52.4676,53.2263,0.4291,8714,8467,-247,4040,4287
c+003130_r+001243,large,Asia,27.4783,71.9917,0.6783,361991,370715,8724,9364,640
c-003630_r+001905,large,N_America,40.0835,-83.4671,0.4242,74317,73929,-388,51,439
c+001721_r+000922,large,Africa,20.7459,39.5891,0.8306,318572,466964,148392,150069,1677
c+006374_r-001623,large,Oceania,-34.9243,146.5936,0.4221,64064,63991,-73,112,185
